,0
청우참치,3.47
정돈,3.58
꼼다비뛰드,3.8
노들강,3.0
영동소금구이,3.53
야키토리묵,3.32
목포집,3.33
야사이마끼 쿠이신보,3.53
칙피스,3.17
콴안다오,3.2
삼창교자,3.4
신비갈비살,3.9
정돈 프리미엄,3.4
테일러커피,3.4
오사카카레콘유,3.6
레호이,3.42
신사치킨클럽,3.8
양인환대,3.39
이디야커피랩,3.5
고급오복수산,3.2
치즈룸,2.67
홍명,3.07
모노로그,3.6
탄광,4.0
미라이,3.6
일무레또,2.9
비스트로앤트로,4.0
상석,4.33
압구정공주떡집,3.6
야스노야지로,3.38
비플레이트 바이 브라운브레드,3.2
양재초밥,3.8
원스타 올드패션드 햄버거,3.67
DOMA ,3.2
차만다,3.49
이도,4.0
지아니스나폴리,3.55
양궈푸마라탕,3.75
파티세리바이가루하루 ,3.53
이도곰탕,3.4
에빗,3.67
한강수,4.25
껠끄쇼즈,3.53
땅코참숯구이,3.48
왕스덕,4.1
김수사,2.87
은화계,3.17
아이뽀유,3.2
가온,4.0
스시코우지,3.2
매덕스피자,3.87
효계,3.73
길버트버거앤프라이즈,3.42
와라야키 쿠이신보,3.43
하쿠시,3.4
새들러하우스,2.92
스쿠로,3.5
SOOT,3.21
스시타츠,2.9
볼피노리스토란테,3.7
가디록,3.47
스시선수,3.0
갓포아키,3.18
효도치킨,3.22
어물전 청,3.4
우가,3.3
미트업,4.0
꽁티드툴레아,3.07
알고리즘,3.2
리틀넥,3.2
최가네버섯샤브매운탕칼국수,3.93
다운타우너,3.21
소이연남마오,3.2
제스트,3.22
르챔버,3.67
파스토,3.7
스시카나에,3.67
페어링룸,3.2
파불라,3.4
스시장종현,3.0
쁠로13,3.0
청담테라,2.27
살루쪼,3.1
마이니치라멘,2.9
페리지,3.4
비야게레로,3.13
능라도,3.23
흐비지떼,3.0
익스퀴진,3.2
슬로우치즈,2.67
스기타마,3.2
화이트와인개러지,4.12
모찌방,3.0
몰타참치,4.2
고메램,3.27
봉밀가,3.8
다로베,3.2
밍글스,3.6
메종드라카테고리,3.4
스시키,3.29
젠제로,3.57
노란상소갈비,2.47
해목,3.2
시고로,3.47
레스토랑오와이,3.5
남산터,3.11
까폼,3.93
카츠바이콘반,3.4
이치에,3.07
구들,3.8
야키토리파노,3.0
정식당,3.86
BISTROT de YOUNTVILLE,3.73
고트델리,3.2
시라카와,3.8
티톨로,3.1
알고기,3.67
외고집설렁탕,3.67
농민백암순대,3.08
장스테이크,3.3
쇼토,3.33
엘이베리코,3.75
로바타탄요,3.4
씨네드쉐프,3.14
일리조,3.6
스시인,3.07
테스트키친,3.33
골드피쉬딤섬퀴진,3.4
백곰막걸리앤양조장,3.0
패티앤베지스,3.9
인딕 슬로우,3.0
삐아프,3.8
우마텐,2.73
양식당더램키친,3.6
뀌쏭82,4.0
오스테리아꼬또,4.0
PDR,4.17
맛짱조개,4.0
쎄쎄종,3.2
호루몬규상,3.62
영동민물장어,3.73
키겐,3.6
온리고,4.0
스시 시미즈,4.0
켄,2.93
마르셀 (휴업중),3.87
코슌,4.2
라미띠에,3.27
따띠따띠,3.0
파넬카페,3.27
임프레션 (휴업중),4.6
롸카두들내쉬빌핫치킨,2.9
파씨오네,3.67
가담,3.0
보트르메종,3.53
있을재,3.6
묵전,3.0
핀즈,4.4
아스트랄,4.4
갓포마코토,4.27
보타르가,2.93
권숙수,2.7
선데이버거클럽,4.0
농민백암왕순대,3.73
뽕나무쟁이,3.2
세드라,3.13
판동면옥,3.8
길목,3.2
뜨락,3.2
중앙해장,3.47
모퉁이우Ripe,2.4
알라보,3.4
모터시티,3.24
경천애인 2237,3.67
챔프커피,3.43
허머스키친,3.53
크라이치즈버거,3.23
대우부대찌개,3.53
고갯마루집,3.2
바게트K,3.2
쏭타이,3.33
사케바현,4.25
강남진해장,3.87
하나샤부정,3.7
Ebt,3.89
부타이,3.13
육전식당,3.36
와려,3.4
논현장어,3.2
진미평양냉면,4.07
스시 나미키,2.87
알라프리마,3.24
북해도목장,3.92
리북집,3.2
수묵당,4.0
무오키,3.57
리틀앤머치 (휴업중),3.27
톡톡,3.1
빠오즈푸,3.43
은혜떡볶이,3.87
궤도에오르다,3.4
가츠시,3.64
래빗홀 버거컴퍼니,2.93
함흥본가면옥,3.33
알고탭하우스,3.09
뱃놈,3.57
투고샐러드,3.34
애드앤드,4.0
태천면옥,3.53
범가,3.5
쉐프의콜렉션,3.46
참토우,3.25
어반나이프,3.13
스시텐,3.0
메차쿠차,2.44
산골닭갈비,2.25
Fmm카페,3.33
끼니밥메시,3.33
홍대돈부리,3.61
미식반점,4.0
멘쇼,3.42
조씨네고기국수,3.47
호파스타,3.27
미분당,3.21
아오스요거트,2.71
꼬메노,3.21
화양식당,3.13
포남딘,2.67
콩이네,3.4
하이디라오,3.19
겐로쿠우동,3.53
오페떼,3.3
타이거슈가,3.67
마초쉐프,3.55
롤링파스타,3.67
우마이도,3.14
사대분식,3.57
글래시,3.4
바나나토크,3.8
잉글사이드,2.73
체리커피,3.27
LAB41,3.8
계탄집,3.7
마우로아,2.8
로이베이커리카페,3.62
라구뜨,3.73
마우스래빗,3.07
띵똥와플,3.33
모모스테이크,2.87
능동샐러드,3.33
오코노미야키식당하나,3.47
건대스시,3.14
최가커피,3.33
도쿄스테이크,2.87
초밥짓는원숭이,3.73
호야,2.4
호야초밥참치전문점,2.8
감성타코,2.89
민벅,2.53
쭈꾸미킹,3.07
수퍼슬라이더스,3.0
선미황먼지찜닭,4.5
어멍네고기국수,2.67
초라멘,3.27
김피라,3.27
부리토 피아,3.5
벨롱에스프레소,3.67
모서리에커피집,3.73
시홍쓰,3.75
깍뚝,3.14
왕십리정곱창,3.46
이이요,3.25
대한곱창,2.86
멕시칼리,3.8
텐동한,3.2
카페래디언트,3.0
카페온,3.38
보라젤라또,3.7
남한강민물매운탕,3.0
일레븐 라운지,2.75
고향양꼬치,3.2
매화반점,3.18
봉자마라탕,3.13
해룡마라룽샤,3.2
쿵푸소룽샤,3.07
복만루,2.68
허씨전통중경마라쌍궈,3.6
경성양육관,3.27
매운향솥,3.29
청두인상,3.4
대흥양다리바베큐,3.8
얼땅쟈,3.56
송화양꼬치,3.07
잇타이,2.93
반티엔야오 카오위,3.5
페스타마레,3.0
니뽕내뽕,3.14
카페호이,3.0
은호초밥,3.33
가마로,3.53
건대커피랩,2.83
부탄츄,3.45
카페 아르무아,2.93
육회한연어,3.22
로얄인디안레스토랑,3.27
아웃닭,3.33
오늘와인한잔,3.29
육성회비,3.93
조용한주택,3.5
선장훅,2.83
환이네갈비살 (휴업중),3.33
포비,3.41
영미오리탕,3.64
한강풍천장어,5.0
뺑드램,3.67
FEFE,3.33
독도수산,3.27
송화산시도삭면,3.44
명봉샤브샤브양꼬치,3.5
케루악,3.2
고래바,3.67
하루,2.75
아날로그키친,2.47
Index,3.53
반둥식당,4.0
카페드라이,3.0
로니로티,2.87
설빙,3.13
칼레오커피로스터스,3.0
해피니스디저트,3.27
강릉엄지네꼬막집,3.23
남원골추어탕,2.8
