,이름,평점,주소,주력 메뉴,가격대,망고플레이트 주소,리뷰내용
0,얌얌카츠,"
4.4
",서울특별시 강동구 천호옛14길 22,"
까스 요리
",만원-2만원,https://www.mangoplate.com//restaurants/x-wh7Hgs9oQP,"
                    사진 더보기
                    
"
1,얌얌카츠,"
4.4
",서울특별시 강동구 천호옛14길 22,"
까스 요리
",만원-2만원,https://www.mangoplate.com//restaurants/x-wh7Hgs9oQP,"
                    사진 더보기
                    
"
2,얌얌카츠,"
4.4
",서울특별시 강동구 천호옛14길 22,"
까스 요리
",만원-2만원,https://www.mangoplate.com//restaurants/x-wh7Hgs9oQP,"
                    사진 더보기
                    
"
3,얌얌카츠,"
4.4
",서울특별시 강동구 천호옛14길 22,"
까스 요리
",만원-2만원,https://www.mangoplate.com//restaurants/x-wh7Hgs9oQP,"
                    사진 더보기
                    
"
4,얌얌카츠,"
4.4
",서울특별시 강동구 천호옛14길 22,"
까스 요리
",만원-2만원,https://www.mangoplate.com//restaurants/x-wh7Hgs9oQP,"
                    사진 더보기
                    
"
5,얌얌카츠,"
4.4
",서울특별시 강동구 천호옛14길 22,"
까스 요리
",만원-2만원,https://www.mangoplate.com//restaurants/x-wh7Hgs9oQP,
6,얌얌카츠,"
4.4
",서울특별시 강동구 천호옛14길 22,"
까스 요리
",만원-2만원,https://www.mangoplate.com//restaurants/x-wh7Hgs9oQP,가고싶다
7,얌얌카츠,"
4.4
",서울특별시 강동구 천호옛14길 22,"
까스 요리
",만원-2만원,https://www.mangoplate.com//restaurants/x-wh7Hgs9oQP,"
        할인된 가격으로인기 메뉴를맛볼 수 있는 기회!
      "
8,얌얌카츠,"
4.4
",서울특별시 강동구 천호옛14길 22,"
까스 요리
",만원-2만원,https://www.mangoplate.com//restaurants/x-wh7Hgs9oQP,"
                업데이트
                : 2019. 7. 25
              "
9,얌얌카츠,"
4.4
",서울특별시 강동구 천호옛14길 22,"
까스 요리
",만원-2만원,https://www.mangoplate.com//restaurants/x-wh7Hgs9oQP,"
          ✦ 맛 4.5/5    분위기 3.5/5    재방문의사 O천호역 부근에 위치한 돈가스 전문점!내부는 바 형태로 8자리? 정도 있는 곳으로 점심, 저녁 늘 대기가 조금 있는편이다.그래서 구석진 자리에 앉게되면 들어가고 나가는데 조금 불편하기도 하다 ㅠㅠ이곳은 음식이 나오는데 시간이 좀 걸리는편이다. 그러나 그 시간이 지루하지않다. 앞부분 주방이 오픈식이라 만드는걸 바로 볼 수 있다!로스와 안심을 먹었는데, 보통 나는 로스카츠 끝부분에 있는 비계 때문에 먹다보면 조금 느끼해서 안심을 즐겨먹는 편이다.근데 이곳은 로스카츠가 느끼하지 않았다! 고기는 부드럽고 고소했으며, 튀김도 잘 튀겨져서 맛의 조화가 좋았다.안심은 말해뭐해 엄청 부드럽고 또 부드러웠다. (안심 엄청 좋아하는편)양이 작아보이지만 먹다보면 딱 기분좋게 배부른 정도의 양이다. 돈가스는 역시 소금에 찍어먹는게 가장 맛있지만 여기는 튀김에 약간의 간이 되어있어서 안찍어먹어도 맛있다.국과 밥은 리필이 가능하다. 
        "
10,얌얌카츠,"
4.4
",서울특별시 강동구 천호옛14길 22,"
까스 요리
",만원-2만원,https://www.mangoplate.com//restaurants/x-wh7Hgs9oQP,"
          엄청 맛있게 먹었어요
        "
11,얌얌카츠,"
4.4
",서울특별시 강동구 천호옛14길 22,"
까스 요리
",만원-2만원,https://www.mangoplate.com//restaurants/x-wh7Hgs9oQP,"
          강동구 토박이, 강동구 지박령임에도 그 유명한 얌얌카츠를 이제서야 처음 가봤다!!솔직히 기대는 안하고 갔다. 강동구야 워낙 미식 불모지이기도 하고 맛집에 대한 역치가 낮기 때문에 조금만 맛있어도 맛집으로 금세 소문이 나기도 한다.주문하고 약 20분 뒤에 메뉴가 나왔다ㅠㅠ 아무리 맛있는 음식이라도 이렇게 오래 기다리는건 곤란하다...ㅠ 근데 맛까지 없으면 진짜 화나는거다.다행히 로스카츠의 맛은 훌륭했다! 정돈이나 카츠바이콘반의 부드러움과 바삭함에 비할바는 아니었지만 이정도면 강동구의 맛집이라 자랑해도 될 정도다.로스는 생각보다 씹는 식감이 살아있다. 로스를 먹는 이유는 대부분 씹는 식감과 지방의 고소함 때문일텐데 그 두가지 이유를 완벽히 충족시켜준다. 살짝 오버쿡이 된거 아닌가 싶을 정도의 식감이지만 탱글한 고기의 식감이 잘 살아있어 즐겁게 먹었다.튀김옷은 얇은편이지만 바삭함이 살아있었다.히레도 궁금했는데 반반으로 시킬걸 후회했다... 웨이팅이 항상 있는 편이고 음식 나오는데도 오래 걸리니 충분한 시간 여유를 가지고 방문하자.
        "
12,얌얌카츠,"
4.4
",서울특별시 강동구 천호옛14길 22,"
까스 요리
",만원-2만원,https://www.mangoplate.com//restaurants/x-wh7Hgs9oQP,"
          너무 느끼해요...등심은 다 먹지도 못했고 안심은 그나마 먹을만 합니다
        "
13,얌얌카츠,"
4.4
",서울특별시 강동구 천호옛14길 22,"
까스 요리
",만원-2만원,https://www.mangoplate.com//restaurants/x-wh7Hgs9oQP,"
          정말 맛있었습니다. 사장님도 직원분도 친절하세요.
        "
14,얌얌카츠,"
4.4
",서울특별시 강동구 천호옛14길 22,"
까스 요리
",만원-2만원,https://www.mangoplate.com//restaurants/x-wh7Hgs9oQP,"
          강동구에도 정말 괜찮은 돈카츠 맛집이! 협소한 편인데다가 주문도 밀려 시간은 꽤 걸렸지만 충분히 만족스러운 곳이었어요:) 가츠산도보다는 안심 추천! 식감이 막 부드럽기만 하진 않고 안심처럼 약간 씹는 식감이 조금 있더라구요? 사장님들도 친절하셔서 좋았습니다!
        "
15,얌얌카츠,"
4.4
",서울특별시 강동구 천호옛14길 22,"
까스 요리
",만원-2만원,https://www.mangoplate.com//restaurants/x-wh7Hgs9oQP,"
          우선 웨이팅이 참.. 애매한.. 집이다테이블이 많지않고 사장님이 혼자 조리하시고 플레이팅 하시는거 같은데.. 효율은 떨어진다맛은 동네 여타 돈가스집보다는 훨씬 좋음!히레보다는 로스가 좀더 고기먹는 느낌이 나서 좋았고 안심은 부드럽다보니 좀 으스러지는 식감이었다웨이팅만 없다면 자주가서 먹고싶지만…더운날 한시간씩 웨이팅은 정말..
        "
16,얌얌카츠,"
4.4
",서울특별시 강동구 천호옛14길 22,"
까스 요리
",만원-2만원,https://www.mangoplate.com//restaurants/x-wh7Hgs9oQP,"
          강동에 얼마없는 4점대 식당인 얌얌카츠! 맨날 가야지 말만 하다가 드디어 방문해봤다.특로스카츠랑 히레가스 주문가끔 아쉬운 돈까스집에 가면 튀김옷이 고기와 분리되는 경우가 있는데 여긴 완벽하게 튀김과 고기가 한몸처럼 붙어있다.특로스는 전혀 퍽퍽하지 않고 육즙이 엄청 풍부하고 히레가스는 특히 더 부드러워서 약간 과장하자면 돼지고기가 아니라 참치캔 뭉쳐놓은것을 씹는거처럼 살결대로 찢어진다.유명한 프리미엄 돈까스보다 맛있다고 할순 없지만 이정도 가격대에 특히 이쪽 지역에선 돈까스로 원탑인듯하다.
        "
17,얌얌카츠,"
4.4
",서울특별시 강동구 천호옛14길 22,"
까스 요리
",만원-2만원,https://www.mangoplate.com//restaurants/x-wh7Hgs9oQP,"
          천호에 유명하다는 얌얌카츠잘못하면 웨이팅도 많이 해야하는데 운좋게 대기 없이 들어가서 먹었어요.여기는 굉장히 퀄리티 있는 돈가스를 파는곳인데그런곳 치고는 가격이 저렴한편이고 돈가스도 진짜 맛있어요!뭐랄까 고기가 밀도가 있는것 같달까?고기에 나오는 육즙도 정말 대박이었어요!그리고 먹으면서 퍽퍽하거나 질길줄알았는데 전혀 그런거없이 굉장히 부드럽고 입에서 사르르 녹는것 같았습니다.
        "
18,얌얌카츠,"
4.4
",서울특별시 강동구 천호옛14길 22,"
까스 요리
",만원-2만원,https://www.mangoplate.com//restaurants/x-wh7Hgs9oQP,"
          맛있네요 재방문의사 있음
        "
19,얌얌카츠,"
4.4
",서울특별시 강동구 천호옛14길 22,"
까스 요리
",만원-2만원,https://www.mangoplate.com//restaurants/x-wh7Hgs9oQP,"
          크레이지카츠 같은 곳에 비하진 못하지만 강동에 이런 곳이라니 맛있다
        "
20,얌얌카츠,"
4.4
",서울특별시 강동구 천호옛14길 22,"
까스 요리
",만원-2만원,https://www.mangoplate.com//restaurants/x-wh7Hgs9oQP,"
          강동구에 맛있는 돈카츠 집이 있다고 해서 가봤는데, 아주 맛있었습니다! 히레카츠가 진짜 엄청 부드럽고 분리현상도 전혀 없는데다가 소금에 함께 찍어먹었을 때 굉장히 잘 어울렸어요! 원래 안심을 더 좋아하지만 다음에 특로스도 먹어봐야겠어요~
        "
21,얌얌카츠,"
4.4
",서울특별시 강동구 천호옛14길 22,"
까스 요리
",만원-2만원,https://www.mangoplate.com//restaurants/x-wh7Hgs9oQP,"
          맛 : ★★★★☆양 : ★★★★★위생 : ★★★☆☆서비스 : ★★★★☆분위기 : ★★☆☆☆가격 : ★★★☆☆
        "
