,이름,평점,주소,주력 메뉴,가격대,망고플레이트 주소
0,오코노미야키식당하나,"
4.7
",서울특별시 광진구 능동로13길 111,"
철판 요리
",만원-2만원,https://www.mangoplate.com//restaurants/RTC_u7jrxHMl
1,원조할아버지손두부,"
4.6
",서울특별시 광진구 자양로 324,"
한정식 / 백반 / 정통 한식
",만원 미만,https://www.mangoplate.com//restaurants/GOcaPhTY0fTg
2,송화산시도삭면,"
4.4
",서울특별시 광진구 뚝섬로27길 48,"
기타 중식
",만원 미만,https://www.mangoplate.com//restaurants/f2yM7Ac3f--8
3,빠오즈푸,"
4.4
",서울특별시 광진구 광나루로 373,"
딤섬 / 만두
",만원 미만,https://www.mangoplate.com//restaurants/OaKrC5BEc1
4,이이요,"
4.4
",서울특별시 광진구 능동로32길 6,"
회 / 스시
",만원-2만원,https://www.mangoplate.com//restaurants/lmV7-IPVgD3m
5,뚝방길 홍차가게,"
4.4
",서울특별시 광진구 자양강변길 277,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/JH3bhstVpYnz
6,명봉샤브샤브양꼬치,"
4.4
",서울특별시 광진구 뚝섬로31길 59 광진빌딩,"
기타 중식
",2만원-3만원,https://www.mangoplate.com//restaurants/-G-YWwpe9D
7,매운향솥,"
4.4
",서울특별시 광진구 동일로18길 61,"
기타 중식
",만원-2만원,https://www.mangoplate.com//restaurants/Co_h796vv0
8,대흥양다리바베큐,"
4.4
",서울특별시 광진구 동일로18길 67 1F,"
기타 중식
",2만원-3만원,https://www.mangoplate.com//restaurants/ZgqmI6Gc8H
9,태천면옥,"
4.4
",서울특별시 광진구 광장로 49,"
국수 / 면 요리
",만원-2만원,https://www.mangoplate.com//restaurants/JUsGTjz2Kq_R
10,남한강민물매운탕,"
4.4
",서울특별시 광진구 동일로 150,"
해산물 요리
",만원-2만원,https://www.mangoplate.com//restaurants/GWQyZs33yd0j
11,환이네갈비살 (휴업중),"
4.4
",서울특별시 광진구 동일로24길 70,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/BzQzcyC7aNiS
12,최가커피,"
4.3
",서울특별시 광진구 능동로13길 23,"
카페 / 디저트
",만원 미만,https://www.mangoplate.com//restaurants/Iwug3C-3E8
13,소바쿠,"
4.3
",서울특별시 광진구 천호대로 650,"
라멘 / 소바 / 우동
",만원 미만,https://www.mangoplate.com//restaurants/3dXE__KRWcOv
14,해룡마라룽샤,"
4.3
",서울특별시 광진구 동일로18길 36,"
기타 중식
",2만원-3만원,https://www.mangoplate.com//restaurants/m_pXgUzp4Plg
15,육성회비,"
4.3
",서울특별시 광진구 동일로24길 19,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/1-l0js5-m1
16,텐동한,"
4.3
",서울특별시 광진구 능동로38길 32 1F,"
돈부리 / 일본 카레 / 벤토
",만원 미만,https://www.mangoplate.com//restaurants/lz14nvWzcTqx
17,델비노,"
4.3
",서울특별시 광진구 워커힐로 177 비스타 워커힐 1F,"
이탈리안
",3만원-4만원,https://www.mangoplate.com//restaurants/jh-2EaGvcbsh
18,로이베이커리카페,"
4.3
",서울특별시 광진구 능동로 36 1F,"
베이커리
",만원 미만,https://www.mangoplate.com//restaurants/nSjfvuBLxTlj
19,시홍쓰,"
4.3
",서울특별시 광진구 능동로17길 5 1F,"
기타 중식
",만원 미만,https://www.mangoplate.com//restaurants/L6LQdsD4NSLy
20,얼땅쟈,"
4.3
",서울특별시 광진구 동일로18길 68,"
기타 중식
",만원-2만원,https://www.mangoplate.com//restaurants/nj3Hk9TB47dT
