,이름,리뷰 내용
0,원조할아버지손두부,"
                    사진 더보기
                    
"
1,원조할아버지손두부,"
                    사진 더보기
                    
"
2,원조할아버지손두부,"
                    사진 더보기
                    
"
3,원조할아버지손두부,"
                    사진 더보기
                    
"
4,원조할아버지손두부,"
                    사진 더보기
                    
"
5,원조할아버지손두부,
6,원조할아버지손두부,가고싶다
7,원조할아버지손두부,"
        할인된 가격으로인기 메뉴를맛볼 수 있는 기회!
      "
8,원조할아버지손두부,"
                업데이트
                : 2018. 8. 30
              "
9,원조할아버지손두부,"
          우왕… 최고 가성비 그리고 최고 맛집!두부만 실컷 먹고싶다면 강추! 가격도 엄청 저렴한데 무진장 맛도 있다…순두부와 모두부 뭘 더 추천하냐면 둘 다 추천한다…말랑말랑한 식감과 퍼석퍼석 식감 둘 다 포기할 수 없더!단점이라면 아차산이 너무 먼 것뿐…
        "
10,원조할아버지손두부,"
          아차산 #원조할아버지손두부.아차산 등산 후 먹기 좋은 음식 1위인 두부! 이유는 모르겠지만 아차산 하산길에는 손두부집이 대거 포진해있다. 그중에서 가장 유명한 원조할아버지 손두부!.가게 앞에 웨이팅 줄로 인기를 실감할 수 있으며 망고플레이트 평점도 꽤나 좋은 곳이다! 그래서 언제 한번 가보고팠던 곳!.메뉴는 심플하게 2가지이다! 순두부와 모두부 그 외에 기본으로 나오는 젓갈 다데기 깍두기 김치 등과 함께 두부를 즐기면 된다..‘아차산막걸리’를 즐길수 있는 것도 이 동네만의 특권아닌 특권! 다만 막걸리잔 앞접시 등 설겆이가 깔끔하게 되어오지 않아 식기도구 위생은 청결하지 못한 인상을 받았던 곳!.순두부는 다대기와 모두부는 젓갈과 궁합이 잘맞았고 김치와도 어울렸다.가격도 4-6천원으로 매우 저렴한데 나름 배가 불러서 꽤나 만족스러운 한끼이다!.매장내부에 좌석이 많아 생각보다 회전율이 빠르니 꼭 등산 후 두부 한접시에 막걸리를 즐겨보시길 추천하는 곳!———————————————메뉴정보:모두부 - ₩6,000순두부 - ₩4,000막걸리 - ₩2,500———————————————주소:서울 광진구 자양로 324 1층
        "
