,이름,평점,주소,주력 메뉴,가격대,망고플레이트 주소,리뷰내용
0,오코노미야키식당하나,"
4.7
",서울특별시 광진구 능동로13길 111,"
철판 요리
",만원-2만원,https://www.mangoplate.com//restaurants/RTC_u7jrxHMl,"
                    사진 더보기
                    
"
1,오코노미야키식당하나,"
4.7
",서울특별시 광진구 능동로13길 111,"
철판 요리
",만원-2만원,https://www.mangoplate.com//restaurants/RTC_u7jrxHMl,"
                    사진 더보기
                    
"
2,오코노미야키식당하나,"
4.7
",서울특별시 광진구 능동로13길 111,"
철판 요리
",만원-2만원,https://www.mangoplate.com//restaurants/RTC_u7jrxHMl,"
                    사진 더보기
                    
"
3,오코노미야키식당하나,"
4.7
",서울특별시 광진구 능동로13길 111,"
철판 요리
",만원-2만원,https://www.mangoplate.com//restaurants/RTC_u7jrxHMl,"
                    사진 더보기
                    
"
4,오코노미야키식당하나,"
4.7
",서울특별시 광진구 능동로13길 111,"
철판 요리
",만원-2만원,https://www.mangoplate.com//restaurants/RTC_u7jrxHMl,"
                    사진 더보기
                    
"
5,오코노미야키식당하나,"
4.7
",서울특별시 광진구 능동로13길 111,"
철판 요리
",만원-2만원,https://www.mangoplate.com//restaurants/RTC_u7jrxHMl,
6,오코노미야키식당하나,"
4.7
",서울특별시 광진구 능동로13길 111,"
철판 요리
",만원-2만원,https://www.mangoplate.com//restaurants/RTC_u7jrxHMl,가고싶다
7,오코노미야키식당하나,"
4.7
",서울특별시 광진구 능동로13길 111,"
철판 요리
",만원-2만원,https://www.mangoplate.com//restaurants/RTC_u7jrxHMl,"
        할인된 가격으로인기 메뉴를맛볼 수 있는 기회!
      "
8,오코노미야키식당하나,"
4.7
",서울특별시 광진구 능동로13길 111,"
철판 요리
",만원-2만원,https://www.mangoplate.com//restaurants/RTC_u7jrxHMl,"
                업데이트
                : 2021. 12. 23
              "
9,오코노미야키식당하나,"
4.7
",서울특별시 광진구 능동로13길 111,"
철판 요리
",만원-2만원,https://www.mangoplate.com//restaurants/RTC_u7jrxHMl,"
          <광장동 투어 下>어린이대공원역과 건대입구역의 중간에서 중랑천 쪽으로춘향미엔에서 든든하게 먹고 형 집에서 좀 쉬다가 내일 출근도 있고 돌아가야 할 시간이 되어 가기전에 무엇을 먹을꼬 하다가 콜린님의 리뷰로 알게 된 시홍쓰가 생각이 났는데 뭔가 점심에 먹은 메뉴와 결이 겹치는 것 같아 갑자기 또 땡긴 하나를 방문했습니다브레이크타임 끝나는 시간에 못 맞추고 저녁시간 언저리 조금 이르게 갔더니 앞에 두 팀이 있어서 대기했습니다 세 번째 인데도 메뉴 특성상 자리가 빨리 빠지지않아 꽤 오래 기다려야 했습니다오늘은 아쉽지만 집에 돌아가야하므로 삿포로 생맥주는 시키지못했고 기본 야끼소바를 주문했습니다어제 혼자 온 놈이 오늘 또 오니 사장님께서 알아봐주시고 사이다를 서비스로 주셨습니다 감사히 잘 마셨습니다 사장님가쓰오부시 듬북 올라간 딱 원하던 맛의 전형적인 맛있는 야끼소바입니다면 식감 좋고 양배추도 샤키샤키 고기는 시코시코 아주 좋습니다마요네즈도 뿌려서 먹으면 어 오사카였나 잠깐 착각에 빠집니다이제 또 언제 다시 오게될지 모르지만 그때까지 안녕히 재방문 의사 : △
        "
