,이름,평점,주소,주력 메뉴,가격대,망고플레이트 주소,리뷰내용
0,라꾸긴,"
4.4
",서울특별시 구로구 가마산로 268,"
이자카야 / 오뎅 / 꼬치
",2만원-3만원,https://www.mangoplate.com//restaurants/1cKCuayTDdSb,"
                    사진 더보기
                    
"
1,라꾸긴,"
4.4
",서울특별시 구로구 가마산로 268,"
이자카야 / 오뎅 / 꼬치
",2만원-3만원,https://www.mangoplate.com//restaurants/1cKCuayTDdSb,"
                    사진 더보기
                    
"
2,라꾸긴,"
4.4
",서울특별시 구로구 가마산로 268,"
이자카야 / 오뎅 / 꼬치
",2만원-3만원,https://www.mangoplate.com//restaurants/1cKCuayTDdSb,"
                    사진 더보기
                    
"
3,라꾸긴,"
4.4
",서울특별시 구로구 가마산로 268,"
이자카야 / 오뎅 / 꼬치
",2만원-3만원,https://www.mangoplate.com//restaurants/1cKCuayTDdSb,"
                    사진 더보기
                    
"
4,라꾸긴,"
4.4
",서울특별시 구로구 가마산로 268,"
이자카야 / 오뎅 / 꼬치
",2만원-3만원,https://www.mangoplate.com//restaurants/1cKCuayTDdSb,"
                    사진 더보기
                    
"
5,라꾸긴,"
4.4
",서울특별시 구로구 가마산로 268,"
이자카야 / 오뎅 / 꼬치
",2만원-3만원,https://www.mangoplate.com//restaurants/1cKCuayTDdSb,
6,라꾸긴,"
4.4
",서울특별시 구로구 가마산로 268,"
이자카야 / 오뎅 / 꼬치
",2만원-3만원,https://www.mangoplate.com//restaurants/1cKCuayTDdSb,가고싶다
7,라꾸긴,"
4.4
",서울특별시 구로구 가마산로 268,"
이자카야 / 오뎅 / 꼬치
",2만원-3만원,https://www.mangoplate.com//restaurants/1cKCuayTDdSb,"
        할인된 가격으로인기 메뉴를맛볼 수 있는 기회!
      "
8,라꾸긴,"
4.4
",서울특별시 구로구 가마산로 268,"
이자카야 / 오뎅 / 꼬치
",2만원-3만원,https://www.mangoplate.com//restaurants/1cKCuayTDdSb,"
                업데이트
                : 2017. 11. 30
              "
9,라꾸긴,"
4.4
",서울특별시 구로구 가마산로 268,"
이자카야 / 오뎅 / 꼬치
",2만원-3만원,https://www.mangoplate.com//restaurants/1cKCuayTDdSb,"
          어느역과 가깝다고 딱 집어서 말할 수 없지만 대림역 주변에 있는 라꾸긴. 병당 콜키지가 2만원이라고 해서 콜키지를 하러 방문했다.친구가 극찬했던 유부마끼는 당연 맛있었다. 나한테도 베스트메뉴.. 원래도 유부 들어간 음식을 너무 좋아하지만 재료들 조화가 다 넘 좋았다!그리고 금태가 들어간 솥밥도 간이 슴슴하니 맛있었고 성게알도 비리지 않아서 좋았다.항정살 구이도 괜찮았지만 계절야채 튀김이 정말 좋았는데.. 친구들이 그렇게 두릅튀김이 맛있다고 노래를 불렀었는데 여태 못먹어보다가 이때 처음 먹어봤는데 정말 너무 맛있어서 깜짝 놀란 기억이 있다.. 라꾸긴에서 두릅 튀김을 먹은 날부터 ""미나리는 전으로 두릅은 튀김으로"" 정신을 친구들에게 전파중..다른 메뉴들도 많이 시켰었는데 여기 정책이 한 메뉴는 한 번만 시킬 수 있어서 유부마키를 더시켜먹고싶었는데 더 못시켜먹은게 아쉬웠다ㅠㅠ 한 메뉴를 한테이블에서 여러번 시켜먹으면 다른 테이블에서 못시켜먹을까봐 이런 정책이 생긴걸까..? 맛잇는 메뉴는 더 시켜먹고싶다구욤...
        "
10,라꾸긴,"
4.4
",서울특별시 구로구 가마산로 268,"
이자카야 / 오뎅 / 꼬치
",2만원-3만원,https://www.mangoplate.com//restaurants/1cKCuayTDdSb,"
          기본안주: 와사비 마요에 무친 해초 (3명이 4그릇 해치웠다, 사장님께 죄송했지만 최고의 안주) 본메뉴들이 다 대표메뉴라고 써있어서 기대 만땅하고 방문한 라꾸긴! 정-말 힙한 곳 하나없는 (카페는 남구로 이미로스터스) 구로구, 게다가 구로구청에 보배라는 말이 괜히 있는게 아니었다! 사실 인테리어는 그냥 동네 술집, 조금 꾸며놓은 느낌도 안나는 식당같은데 음식이 말 다했다! 술이 술술들어가고 셋이서 안주 5개를 클리어하였다.일단 유부 안에 여러 해산물을 넣은 단짠, 신선한 맛의 마끼가 베스트 메뉴!! 그 외에도 모듬회, 어려운 메뉴의 이름메뉴(해산물을 다양하게 요리조리한 접시) 등등 하나라도 아쉬운게 없었던 가게였다. 바지락 술찜도 바지락이 굉장히 실했던...!매실주와 하이볼, 한라토닉을 먹었는데 매실주는 가격에 비해 양은 적으나 도수가 높은듯 느껴졌으니 스타트 끊기 좋은듯하다. 처음에는 가격이 막 저렴하진 않‎아서 주문을 적게 했었는데 막상 진짜 많이 나오겠지 했지만 긁을때는 먹은거에 비해 왜이리 조금 나왔지 하는 킹왕 가성비 식당이다' ㅅ' 사장님도 친절하시나 예약을 해야하고주차는 서울내과 지하에, 화장실은 외부에 있음! 
        "
11,라꾸긴,"
4.4
",서울특별시 구로구 가마산로 268,"
이자카야 / 오뎅 / 꼬치
",2만원-3만원,https://www.mangoplate.com//restaurants/1cKCuayTDdSb,"
          가격대비 정말 좋은 이자카야 최근 간 이자카야중 가성비 제일 좋다. 싸기만 한게 아니라 맛도 정말 좋은 곳. 유부 청어 마키가 맛있어보였는데 진짜로 맛있다. 우니도 같이 나오는데 18000원. 청오도 전혀 안비리고 살짝 아부리한 유부의 달달한 감칠맛과의 조화가 아주 좋다. 모듬 계절 튀김도 죽순, 아스파라, 두릅이 나오는데 모두 아주 괜찮은 맛. 그외 메뉴들도 빠지는 것 없이 모두 맛있는데 저렇게 먹어도 음식가격이 11정도했던 것 같다. 4인 충분한 양. 콜키지1.5로 좋음. 예약은 필수이지만 어렵지않다
        "
12,라꾸긴,"
4.4
",서울특별시 구로구 가마산로 268,"
이자카야 / 오뎅 / 꼬치
",2만원-3만원,https://www.mangoplate.com//restaurants/1cKCuayTDdSb,"
          맛잘알 슨생님들의 가르침받아 방문하게 된 대림역 이자카야 라꾸긴.미리미리 어떤 맛인지 적어둘 걸 오래돼서 기억이 잘 안나지만 ㅠㅠ 성게알이 올라간 유부마키와 두릅, 아스파라거스, 죽순 등의 계절 튀김이 깜짝놀라게 맛있었던 게 떠오릅니다.정말이지... 두릅은 튀겨야 제맛이요 미나리는 전으로 부쳐야 제맛이 아닌가 싶슴니다. 봄나물 사랑한드악...!항정살 미소야키, 야끼교자, 갓밥이 들어간 솥밥 (야키메시), 오뎅까지 다 너무 괜찮았어요.가격도 만원 대 후반인데 맛도 있고 같이 마신 술도 끝내주고 같이 마시러간 사람들도 좋고~ 아주 행복한 한 끼 식사였습니다☆
        "
13,라꾸긴,"
4.4
",서울특별시 구로구 가마산로 268,"
이자카야 / 오뎅 / 꼬치
",2만원-3만원,https://www.mangoplate.com//restaurants/1cKCuayTDdSb,"
          구로구의 축복 맞네요! 너무너무... 맛있어요...ㅠㅠ중국인 사장님이 하시는 이자카야인데 인스타 사진에 이끌려서 다녀왔어요. 평일 저녁이었는데 사람이 많은지 거의 예약손님이더라구요. 웨이팅 안하시려면 예약 필수입니당 ㅠㅠ유부마키, 금태구이, 마파두부, 오늘의조림(방어)를 주문했는데 하나같이 넘 맛있었어요ㅠㅠ 유부마키는 청어같은 등푸른 생선을 다져넣은 유부위에 우니, 파르미지아노 치즈를 갈아 올린 요리였는데요. 재료만 들어도 맛있는 조합이라 비린내 1도 없이 고소하구 단짠단짠 최고bb 우니는 따로 떼어서도 먹어봤는데 우니 자체 품질도 좋은 편이었어요. 금태는 갓을 넣어 지은 밥과 같이 서빙되는데 금태 살살녹고 갓밥도 감칠맛 돌아서 슴슴하니 술이랑 같이 먹으면 술술 넘어가는 맛이었어요.마파두부는 특이하게도 고니가 들어갔는데요. 마라의 싸한 맛과 달콤매콤한 맛, 고니의 고소한 맛이 특이하면서도 은근 잘어울려서 맛있게 먹었어요.오늘의 조림은 방어가마살 조림이었는데 간장에 조린 생선은 술안주로 넘 좋은거 아시죠? 술 콸콸 들어가는 맛이라 배불렀는데도 막 들어가더라구요 ㅋㅋㅋ콜키지도 병당 2만원이라 착한편이고 안주도 저렴해서 위치만 아니었음 진짜 자주 갈 것 같아요. 저는 일단 또 갈거긴합니다ㅋㅋㅋ 재방문의사O
        "
