,이름,평점,주소,주력 메뉴,가격대,망고플레이트 주소,리뷰내용
0,여신족발,"
4.3
",서울특별시 금천구 벚꽃로38길 21,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/BGIEFmOCX3,"
                    사진 더보기
                    
"
1,여신족발,"
4.3
",서울특별시 금천구 벚꽃로38길 21,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/BGIEFmOCX3,"
                    사진 더보기
                    
"
2,여신족발,"
4.3
",서울특별시 금천구 벚꽃로38길 21,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/BGIEFmOCX3,"
                    사진 더보기
                    
"
3,여신족발,"
4.3
",서울특별시 금천구 벚꽃로38길 21,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/BGIEFmOCX3,"
                    사진 더보기
                    
"
4,여신족발,"
4.3
",서울특별시 금천구 벚꽃로38길 21,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/BGIEFmOCX3,"
                    사진 더보기
                    
"
5,여신족발,"
4.3
",서울특별시 금천구 벚꽃로38길 21,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/BGIEFmOCX3,
6,여신족발,"
4.3
",서울특별시 금천구 벚꽃로38길 21,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/BGIEFmOCX3,가고싶다
7,여신족발,"
4.3
",서울특별시 금천구 벚꽃로38길 21,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/BGIEFmOCX3,"
        할인된 가격으로인기 메뉴를맛볼 수 있는 기회!
      "
8,여신족발,"
4.3
",서울특별시 금천구 벚꽃로38길 21,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/BGIEFmOCX3,"
                업데이트
                : 2018. 6. 20
              "
9,여신족발,"
4.3
",서울특별시 금천구 벚꽃로38길 21,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/BGIEFmOCX3,"
          맛있다..
        "
10,여신족발,"
4.3
",서울특별시 금천구 벚꽃로38길 21,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/BGIEFmOCX3,"
          복날 시즌이라 고기는 먹어야하는데 어디를 갈까 하다가 찾아온 곳이다. 족발 메뉴 특성상 1인분은 없고 그냥 가장 양 적은 족발 메뉴를 포장해서 사와서 집에서 먹었다.족발 소자 28000부추절임족발쌈채소고추편마늘멸치젓갈쌈장등의 구성이다. 부추절임은 그 자체는 잘 모르겠지만 주로 족발이랑 같이 먹기 정말 괜찮았다.족발은 잡내나 질기지 않고 탱탱하고 부드럽기도 하고 쫄깃했다. 맛 자체가 독특하거나 이런 건 없는데 자꾸 당기는 맛이었다. 집 근처에 허브족발이 있는 영등포주민으로선 크게 메리트는 없을지 몰라도 구디 근처에 갈 일이 많다면 자주 들르지 않았을까 생각된다.
        "
