,이름,평점,주소,주력 메뉴,가격대,망고플레이트 주소,리뷰내용
0,스시다온,"
4.4
",서울특별시 노원구 석계로 9 2F,"
회 / 스시
",3만원-4만원,https://www.mangoplate.com//restaurants/1uma03xF5wFB,"
                    사진 더보기
                    
"
1,스시다온,"
4.4
",서울특별시 노원구 석계로 9 2F,"
회 / 스시
",3만원-4만원,https://www.mangoplate.com//restaurants/1uma03xF5wFB,"
                    사진 더보기
                    
"
2,스시다온,"
4.4
",서울특별시 노원구 석계로 9 2F,"
회 / 스시
",3만원-4만원,https://www.mangoplate.com//restaurants/1uma03xF5wFB,"
                    사진 더보기
                    
"
3,스시다온,"
4.4
",서울특별시 노원구 석계로 9 2F,"
회 / 스시
",3만원-4만원,https://www.mangoplate.com//restaurants/1uma03xF5wFB,"
                    사진 더보기
                    
"
4,스시다온,"
4.4
",서울특별시 노원구 석계로 9 2F,"
회 / 스시
",3만원-4만원,https://www.mangoplate.com//restaurants/1uma03xF5wFB,"
                    사진 더보기
                    
"
5,스시다온,"
4.4
",서울특별시 노원구 석계로 9 2F,"
회 / 스시
",3만원-4만원,https://www.mangoplate.com//restaurants/1uma03xF5wFB,
6,스시다온,"
4.4
",서울특별시 노원구 석계로 9 2F,"
회 / 스시
",3만원-4만원,https://www.mangoplate.com//restaurants/1uma03xF5wFB,가고싶다
7,스시다온,"
4.4
",서울특별시 노원구 석계로 9 2F,"
회 / 스시
",3만원-4만원,https://www.mangoplate.com//restaurants/1uma03xF5wFB,** 예약 가능
8,스시다온,"
4.4
",서울특별시 노원구 석계로 9 2F,"
회 / 스시
",3만원-4만원,https://www.mangoplate.com//restaurants/1uma03xF5wFB,"
        할인된 가격으로인기 메뉴를맛볼 수 있는 기회!
      "
9,스시다온,"
4.4
",서울특별시 노원구 석계로 9 2F,"
회 / 스시
",3만원-4만원,https://www.mangoplate.com//restaurants/1uma03xF5wFB,"
                업데이트
                : 2021. 12. 15
              "
10,스시다온,"
4.4
",서울특별시 노원구 석계로 9 2F,"
회 / 스시
",3만원-4만원,https://www.mangoplate.com//restaurants/1uma03xF5wFB,** 예약 가능
