,이름,평점,주소,주력 메뉴,가격대,망고플레이트 주소,리뷰내용
0,이코이,"
4.3
",서울특별시 도봉구 도봉로112길 20,"
돈부리 / 일본 카레 / 벤토
",만원-2만원,https://www.mangoplate.com//restaurants/NXsNs3Z7_eS8,"
                    사진 더보기
                    
"
1,이코이,"
4.3
",서울특별시 도봉구 도봉로112길 20,"
돈부리 / 일본 카레 / 벤토
",만원-2만원,https://www.mangoplate.com//restaurants/NXsNs3Z7_eS8,"
                    사진 더보기
                    
"
2,이코이,"
4.3
",서울특별시 도봉구 도봉로112길 20,"
돈부리 / 일본 카레 / 벤토
",만원-2만원,https://www.mangoplate.com//restaurants/NXsNs3Z7_eS8,"
                    사진 더보기
                    
"
3,이코이,"
4.3
",서울특별시 도봉구 도봉로112길 20,"
돈부리 / 일본 카레 / 벤토
",만원-2만원,https://www.mangoplate.com//restaurants/NXsNs3Z7_eS8,"
                    사진 더보기
                    
"
4,이코이,"
4.3
",서울특별시 도봉구 도봉로112길 20,"
돈부리 / 일본 카레 / 벤토
",만원-2만원,https://www.mangoplate.com//restaurants/NXsNs3Z7_eS8,"
                    사진 더보기
                    
"
5,이코이,"
4.3
",서울특별시 도봉구 도봉로112길 20,"
돈부리 / 일본 카레 / 벤토
",만원-2만원,https://www.mangoplate.com//restaurants/NXsNs3Z7_eS8,
6,이코이,"
4.3
",서울특별시 도봉구 도봉로112길 20,"
돈부리 / 일본 카레 / 벤토
",만원-2만원,https://www.mangoplate.com//restaurants/NXsNs3Z7_eS8,가고싶다
7,이코이,"
4.3
",서울특별시 도봉구 도봉로112길 20,"
돈부리 / 일본 카레 / 벤토
",만원-2만원,https://www.mangoplate.com//restaurants/NXsNs3Z7_eS8,"
        할인된 가격으로인기 메뉴를맛볼 수 있는 기회!
      "
8,이코이,"
4.3
",서울특별시 도봉구 도봉로112길 20,"
돈부리 / 일본 카레 / 벤토
",만원-2만원,https://www.mangoplate.com//restaurants/NXsNs3Z7_eS8,"
                업데이트
                : 2021. 2. 1
              "
9,이코이,"
4.3
",서울특별시 도봉구 도봉로112길 20,"
돈부리 / 일본 카레 / 벤토
",만원-2만원,https://www.mangoplate.com//restaurants/NXsNs3Z7_eS8,"
          21-113사케동이 익숙한 저에게 참치는 조금 생소한 매칭이었는데 먹어보니 왜 여기가 유명한지 알것 같습니다미리 세팅된 데이블의 인상적인 미소국에 들어있는 게의 다리..맛도 게의 맛을 품은 맛있는 미소장국은 한번 더 추가가 당연한듯 싶습니다아주 고급 참치 집에서나 맛볼수 있는 고급 참지부위를 먹다보니 여기가 아주 가성비 좋은 집임을 새삼 깨닫습니다맛있는 참치는 김이 필요 없다고 하지요여기가  그렇습니다반면 연어 사케동도 너무 좋네요단골이 될것 같은 느낌입니다방문추천 95%친절도 중청결 상주차불가
"
10,이코이,"
4.3
",서울특별시 도봉구 도봉로112길 20,"
돈부리 / 일본 카레 / 벤토
",만원-2만원,https://www.mangoplate.com//restaurants/NXsNs3Z7_eS8,"
          저랑 궁합 안맞음
        "
11,이코이,"
4.3
",서울특별시 도봉구 도봉로112길 20,"
돈부리 / 일본 카레 / 벤토
",만원-2만원,https://www.mangoplate.com//restaurants/NXsNs3Z7_eS8,"
          쌍문역에 있다는 사실 자체가 놀라운 식당 두 군데를 꼽자면 하이쿠와 이코이 이렇게 두 곳이다. 오늘은 그 중 하나인 이코이를 다녀왔다.정말 합리적인 가격으로 혼마구로를 판매하는 식당이다. 방문 당시 기준 최근에 가격을 인상하였는데, 그렇다고 하더라도 참다랑어 덮밥이 18000원에 참치회가 10피스는 넘게 넉넉히 올려져있다. 같은 가게가 강남에 있었다면 어땠을지..아무래도 예전부터 도봉구, 강북구쪽은 맛집 불모지였다.. 그러다가 최근 쌍문역이 트렌디하게 변해가고 있는것 같다. 그러다가 등장한 가게가 바로 여기, 이코이이다. 아무래도 집에서 버스타면 10분 거리에 위치한 집이라 대략 10번은 넘게 방문했는데, 갈때마다 만족했다.우선 해동을 굉장히 잘했다는 느낌이다. 코스트를 보면 그리 좋은 참치를 쓰지는 못할텐데, 그런 참치가 만약 해동이 제대로 안된다면 특유의 물 맛에 비린 맛이 더 더해져서 맛이 확 떨어지게 된다. 하지만 이곳은 충분히 해동을 잘한 것인지 참치의 물맛은 좀 느껴져도 비린 맛은 거의 없는 것 같다. 그리고 상온 수준으로 해동한 것도 내 취향과 맞다. 마구로동은 이곳과 성수의 마구로쇼쿠도에서 맛본 것이 전부이긴 하나 나는 여기가 최고다.밥은 어느정도 초대리로 간을 한 듯 싶은데 조금 질어서 개인적으로 별로이긴 하다. 취향 문제이긴 하겠다만 그래도 요즘은 샤리도 드라이하게 변하는게 대세인 만큼 밥을 약간 고슬하게 지으시면 좋겠다는 생각이 들기는 한다.또한 여기는 뒷주방의 튀김 실력도 준수하다. 특히 생선 카츠가 맛이 좋다. 일반적인 돈까스 정식에 딸려나오는 생선까스랑은 확실히 다르고 곁들이는 타르타르 소스도 좋으니 둘이서 방문한다면 한 번 시켜보시길.워낙에 여러번 방문하다보니 사장님께서 서비스로 연어타다끼샐러드도 내주셨는데 이거이거 생각보다 맛있었다. 메뉴에 올려주셨으면ㅎㅎ
        "
12,이코이,"
4.3
",서울특별시 도봉구 도봉로112길 20,"
돈부리 / 일본 카레 / 벤토
",만원-2만원,https://www.mangoplate.com//restaurants/NXsNs3Z7_eS8,"
          굿
        "
