,이름,평점,주소,0
0,얌얌카츠,4.4,서울특별시 강동구 천호옛14길 22,강동구
1,보타이,4.3,서울특별시 강동구 풍성로 90 한스빌딩 1F,강동구
2,이한진숙성회,4.3,서울특별시 강동구 구천면로29길 64,강동구
3,경양미식,4.3,서울특별시 강동구 천호옛14길 23-4,강동구
4,프릭스다이너,4.3,서울특별시 강동구 천호대로159길 53,강동구
5,등갈비달인,4.3,서울특별시 강동구 천호대로158길 25 1F,강동구
6,커피몽타주,4.2,서울특별시 강동구 올림픽로48길 23-12 상지빌딩 1F,강동구
7,진미한우곱창,4.2,서울특별시 강동구 천중로40길 50,강동구
8,데카망 ,4.2,서울특별시 강동구 천호옛14길 35,강동구
9,다람,4.2,서울특별시 강동구 양재대로85길 29 유봉빌딩,강동구
10,우리동네막국수국밥,4.2,서울특별시 강동구 상암로4길 9 1F,강동구
11,영화정해장국,4.2,서울특별시 강동구 천호대로177길 48-18,강동구
12,화진포막국수,4.1,서울특별시 강동구 성내로10길 12,강동구
13,봉래면옥,4.1,서울특별시 강동구 명일로 200-16,강동구
14,성일면옥,4.1,서울특별시 강동구 성내로 38 1F,강동구
15,쭈꾸쭈꾸쭈꾸미,4.1,서울특별시 강동구 천호옛길 98,강동구
16,송월냉면,4.1,서울특별시 강동구 구천면로29길 26,강동구
17,백년화편,4.1,서울특별시 강동구 양재대로81길 18 1F,강동구
18,유미벅스,4.0,서울특별시 강동구 진황도로27길 4,강동구
19,온온,4.0,서울특별시 강동구 성내로18길 34,강동구
20,페더커피,4.0,서울특별시 강동구 진황도로 123 광남캐스빌아파트상가 101호,강동구
21,카페온도,4.0,서울특별시 강동구 양재대로103길 40 101호,강동구
22,모리식당,4.0,서울특별시 강동구 양재대로113길 8,강동구
23,푸지미곱창,4.0,서울특별시 강동구 천호옛14길 23,강동구
24,유경정육식당,4.0,서울특별시 강동구 천중로52길 38,강동구
25,카쿠,3.9,서울특별시 강동구 성안로 45,강동구
26,블랑제리 11 17,3.9,서울특별시 강동구 올림픽로 624,강동구
27,솜솜베이커리,3.9,서울특별시 강동구 암사1가길 37,강동구
28,아키노유키,3.9,서울특별시 강동구 올림픽로70길 50-7,강동구
29,평상시,3.9,서울특별시 강동구 고덕로20길 26 1F,강동구
30,히든브라운,3.9,서울특별시 강동구 성안로9길 50 둘리빌딩 1F 101호,강동구
31,황푸차이나,3.9,서울특별시 강동구 양재대로 1590 1F,강동구
32,프언타이,3.9,서울특별시 광진구 아차산로 431 강변SK뷰 상가3동 B103호,광진구
33,캄포,3.9,서울특별시 강동구 양재대로128길 41 1F,강동구
34,하다식당,3.9,서울특별시 강동구 양재대로124길 29,강동구
35,진이네떡볶이,3.9,서울특별시 강동구 동남로71길 19,강동구
36,반피셋,3.9,서울특별시 강동구 양재대로 1500 105호,강동구
37,똥찌비,3.9,서울특별시 강동구 천호대로159길 25 1F,강동구
38,애크로매틱 커피 컴퍼니,3.9,서울특별시 강동구 성내로14길 37,강동구
39,영춘똥꼬닭발,3.9,서울특별시 강동구 올림픽로62길 38,강동구
40,족발선생,3.9,서울특별시 강동구 올림픽로70길 51-6,강동구
41,외계인커피,3.9,서울특별시 강동구 진황도로47길 67,강동구
42,펠어커피,3.9,서울특별시 강동구 천호옛14길 23-12 1F 102호,강동구
43,피콜로,3.9,서울특별시 강동구 천호대로168가길 51,강동구
44,YUP,3.9,서울특별시 강동구 성안로 22 세현빌딩 1F,강동구
45,아이스베리,3.9,서울특별시 강동구 천호대로157길 17,강동구
46,두리돈까스,3.9,서울특별시 강동구 고덕로 89 2F,강동구
47,간다이,3.9,서울특별시 강동구 성안로 15 동성빌딩 2F,강동구
48,스윗솔트,3.8,서울특별시 강동구 상암로 286,강동구
49,앙상블,3.8,서울특별시 강동구 양재대로147길 5 2F,강동구
50,채스우드커피,3.8,서울특별시 강동구 성안로 42,강동구
51,피에로커피,3.8,서울특별시 강동구 성내로14길 27 1F,강동구
52,풍년상회쪽갈비,3.8,서울특별시 강동구 천호옛14길 23-6,강동구
53,빠네렌토,3.8,서울특별시 강동구 동남로 881,강동구
54,미니회바,3.8,서울특별시 강동구 천호옛길 97,강동구
55,평양만두집,3.8,서울특별시 강동구 성내로 14,강동구
56,미드데이썬,3.8,서울특별시 강동구 양재대로91나길 55,강동구
57,율베이커리,3.8,서울특별시 강동구 양재대로103길 43,강동구
58,피카피오,3.8,서울특별시 강동구 천호대로 1065,강동구
59,천호쭈꾸미,3.8,서울특별시 강동구 천호대로158길 14,강동구
60,마드레,3.8,서울특별시 강동구 동남로 710,강동구
61,브로일링커피컴퍼니,3.8,서울특별시 강동구 성내로10길 9-6 1F,강동구
62,미분당,3.8,서울특별시 강동구 양재대로112길 13 103호,강동구
63,분더버거,3.7,서울특별시 강동구 천호대로168가길 57,강동구
64,통로,3.7,서울특별시 강동구 강동대로55길 25,강동구
65,에이컷스테이크,3.7,서울특별시 강동구 강동대로 187 파크비유캐슬 2F,강동구
66,갓잇,3.7,서울특별시 강동구 성안로 14,강동구
67,셀프하우스,3.7,서울특별시 강동구 올림픽로 572,강동구
68,명일원조닭발,3.7,서울특별시 강동구 상암로47길 86,강동구
69,스테이지28,3.6,서울특별시 강동구 아리수로61길 105,강동구
70,풀팬,3.6,서울특별시 강동구 올림픽로 660 엘쿠르상가 104호,강동구
71,파트원나이스,3.6,서울특별시 강동구 올림픽로89길 29,강동구
72,강동호치민,3.6,서울특별시 강동구 천호대로 1089 복합시설동 비47호 강동헤르셔,강동구
73,인정원월남쌈,3.6,서울특별시 강동구 천호대로 1158,강동구
74,멘야세븐,3.5,서울특별시 강동구 양재대로112길 45,강동구
75,모범떡볶이 1976,3.5,서울특별시 강동구 진황도로 85,강동구
76,부리나케,3.5,서울특별시 강동구 풍성로 100,강동구
77,독도쭈꾸미,3.5,서울특별시 강동구 천호대로158길 10,강동구
78,하이몬드,3.5,서울특별시 강동구 천호옛14길 11 1-2F,강동구
79,송하정스시,3.4,서울특별시 강동구 상일로 39-8,강동구
80,유타로,3.4,서울특별시 강동구 올림픽로70길 56-6,강동구
81,연풍민락,3.4,서울특별시 강동구 천호대로157길 18 2F,강동구
82,바이재재,3.3,서울특별시 강동구 풍성로53길 27 1F,강동구
83,차이나린찐,3.3,서울특별시 강동구 강동대로 223 인텍스파크뷰 1F,강동구
84,배나무집,3.3,서울특별시 강동구 동남로 585,강동구
85,오픈키친어경재,3.3,서울특별시 강동구 천호대로 1162 세양청마루 아파트 상가 104호,강동구
86,해중천반점,3.3,서울특별시 강동구 천호옛길 84,강동구
87,초밥의신 부타,3.2,서울특별시 강동구 천호대로155길 11,강동구
88,스시마에,최신 버전 앱,서울특별시 강동구 성내로 40 동흔빌딩 1F,강동구
89,곱사모,최신 버전 앱,서울특별시 강동구 양재대로102길 32,강동구
90,모뉴먼트커피,최신 버전 앱,서울특별시 강동구 올림픽로62길 5 1F,강동구
91,평냉집,최신 버전 앱,서울특별시 강동구 천호대로219길 76,강동구
92,와줘서고마워요,최신 버전 앱,서울특별시 강동구 고덕로 133 롯데캐슬퍼스트상가 320-1호,강동구
93,스시미진,최신 버전 앱,서울특별시 강동구 고덕로 385 그라시움4상가 2F 212호,강동구
94,마카롱걸,최신 버전 앱,서울특별시 강동구 양재대로81길 8,강동구
95,바다생협,최신 버전 앱,서울특별시 강동구 천호대로 1078 씨제이나파트 1F 105호,강동구
96,브리에,최신 버전 앱,서울특별시 강동구 강동대로51길 50,강동구
97,콩플레,                              4.4                            ,서울특별시 강동구 동남로83길 67,강동구
98,하에레츠,최신 버전 앱,서울특별시 강동구 암사길 27,강동구
99,팔선생,최신 버전 앱,서울특별시 강동구 성내로8길 9-19,강동구
100,오븐베이크,최신 버전 앱,서울특별시 강동구 고덕로10길 43-3 1F,강동구
101,카페메종드한,최신 버전 앱,서울특별시 강동구 강동대로 177,강동구
102,요거트빌리지,최신 버전 앱,서울특별시 강동구 구천면로 436  1F,강동구
103,제주아줌마집,최신 버전 앱,서울특별시 강동구 풍성로58길 34,강동구
104,랍스타킹,최신 버전 앱,서울특별시 강동구 고덕로25길 13-19 1F,강동구
105,로겐하임,                              4.4                            ,서울특별시 강동구 동남로71길 32 환타지아빌딩 1F,강동구
106,해왕조개전문,최신 버전 앱,서울특별시 강동구 풍성로56길 39 1F 113-114호,강동구
107,카페제이,최신 버전 앱,서울특별시 강동구 동남로82길 19,강동구
108,시찌린,최신 버전 앱,서울특별시 강동구 동남로 877 환화오벨리스크,강동구
109,사바사바치킨&비어,최신 버전 앱,서울특별시 강동구 올림픽로100길 6,강동구
110,8번가,                              4.4                            ,서울특별시 강동구 천호대로157길 18 원방빌딩,강동구
111,느린토끼,                              4.0                            ,서울특별시 강동구 천호대로168가길 29,강동구
112,애월집,최신 버전 앱,서울특별시 강동구 고덕로10길 50,강동구
113,베프상회,최신 버전 앱,서울특별시 강동구 천중로40길 71,강동구
114,숟가락반상 마실,최신 버전 앱,서울특별시 강동구 동남로73길 31 한국4H회관 2F,강동구
115,커피방,최신 버전 앱,서울특별시 강동구 천호대로168나길 3,강동구
116,카페수요일,                              4.6                            ,서울특별시 강동구 동남로 891 현대델리안 202호,강동구
117,요인요아웃,최신 버전 앱,서울특별시 강동구 상일로5길 8-7 1F,강동구
118,마데린커피,최신 버전 앱,서울특별시 강동구 올림픽로 654-15 1F,강동구
119,스시혼,최신 버전 앱,서울특별시 강동구 구천면로 424,강동구
120,고덕커피,최신 버전 앱,서울특별시 강동구 구천면로 640 A-105,강동구
