,이름,평점,주소,주력 메뉴,가격대,망고플레이트 주소,리뷰내용
0,우정초밥,"
4.6
",서울특별시 성북구 종암로3길 31 1F,"
회 / 스시
",2만원-3만원,https://www.mangoplate.com//restaurants/jFWl95c1KbXZ,"
                    사진 더보기
                    
"
1,우정초밥,"
4.6
",서울특별시 성북구 종암로3길 31 1F,"
회 / 스시
",2만원-3만원,https://www.mangoplate.com//restaurants/jFWl95c1KbXZ,"
                    사진 더보기
                    
"
2,우정초밥,"
4.6
",서울특별시 성북구 종암로3길 31 1F,"
회 / 스시
",2만원-3만원,https://www.mangoplate.com//restaurants/jFWl95c1KbXZ,"
                    사진 더보기
                    
"
3,우정초밥,"
4.6
",서울특별시 성북구 종암로3길 31 1F,"
회 / 스시
",2만원-3만원,https://www.mangoplate.com//restaurants/jFWl95c1KbXZ,"
                    사진 더보기
                    
"
4,우정초밥,"
4.6
",서울특별시 성북구 종암로3길 31 1F,"
회 / 스시
",2만원-3만원,https://www.mangoplate.com//restaurants/jFWl95c1KbXZ,"
                    사진 더보기
                    
"
5,우정초밥,"
4.6
",서울특별시 성북구 종암로3길 31 1F,"
회 / 스시
",2만원-3만원,https://www.mangoplate.com//restaurants/jFWl95c1KbXZ,
6,우정초밥,"
4.6
",서울특별시 성북구 종암로3길 31 1F,"
회 / 스시
",2만원-3만원,https://www.mangoplate.com//restaurants/jFWl95c1KbXZ,가고싶다
7,우정초밥,"
4.6
",서울특별시 성북구 종암로3길 31 1F,"
회 / 스시
",2만원-3만원,https://www.mangoplate.com//restaurants/jFWl95c1KbXZ,"** 예약후 방문권장, 유선 예약 가능"
8,우정초밥,"
4.6
",서울특별시 성북구 종암로3길 31 1F,"
회 / 스시
",2만원-3만원,https://www.mangoplate.com//restaurants/jFWl95c1KbXZ,"
        할인된 가격으로인기 메뉴를맛볼 수 있는 기회!
      "
9,우정초밥,"
4.6
",서울특별시 성북구 종암로3길 31 1F,"
회 / 스시
",2만원-3만원,https://www.mangoplate.com//restaurants/jFWl95c1KbXZ,"
                업데이트
                : 2021. 12. 15
              "
10,우정초밥,"
4.6
",서울특별시 성북구 종암로3길 31 1F,"
회 / 스시
",2만원-3만원,https://www.mangoplate.com//restaurants/jFWl95c1KbXZ,"** 예약후 방문권장, 유선 예약 가능"
11,우정초밥,"
4.6
",서울특별시 성북구 종암로3길 31 1F,"
회 / 스시
",2만원-3만원,https://www.mangoplate.com//restaurants/jFWl95c1KbXZ,"
          - 음주를 적극적으로 권장하는 다찌 스타일의 가성비 오마카세공식 인스타 팔로우해놨다가 예약 취소 자리 줍줍해서 혼자 디너(25000)로 다녀왔어요! 주류 주문을 하는 게 좋다는 리뷰를 언뜻 본 것 같아 주류 리스트를 열심히 살펴봤는데요. 혼자 온 알쓰가 마실 만한 걸 찾기엔 주류 리스트 자체가 간소하고, 잔술도 없어서 아쉬웠어요. 결국 주류는 포기했는데, 알고 보니 주류 주문하면 뭐가 더 나오고, 또 주문하면 또 나오는 다찌 스타일이라 저 혼자 약간 쓸쓸했잖아요ㅋㅋ 분명 한 장소에 같이 있는데, 나 혼자만 못 끼는 술 파티가 열린 느낌ㅋㅋㅋㅋㅋ오마카세는 사시미로 시작했는데, 솔직히 첫인상은 아주 아쉬웠어요. 역시 저렴한 건 어쩔 수 없나 싶을 정도였는데요. 스시로 넘어가면서 마냥 가격만 싼 게 아니라, 가성비가 좋은 거라고 생각이 바뀌어서 다행이었어요ㅎㅎ 어떻게 이런 가성비가 나오지 하는 궁금함을 해소하기 위해 한 번쯤 방문해볼 만하지만, 어렵게 예약하면서까지 다시 오고 싶은 정도는 아닌 것 같아요.
        "
12,우정초밥,"
4.6
",서울특별시 성북구 종암로3길 31 1F,"
회 / 스시
",2만원-3만원,https://www.mangoplate.com//restaurants/jFWl95c1KbXZ,"
          전화로 예약을 해야 하는 우정초밥에 예약을 성공 후 방문하게 되었습니다. 방문한 시점은 런치 가격이 변동되기 이전입니다.스시 오마카세는 몇 번 방문해보긴 했지만 맛알못이라 사실 대부분 맛있는 편이었던 것 같네요.그런데 여기는 가성비가 아주 아주 좋았습니다. 물론 고급 생선이나 종류가 제한적이긴 하지만 가격이 오르고 난 후여도 좋은 것 같습니다. 맛도 저한테는 좋았고, 양은 좀 적긴 했으나 16,000원(오르기 전)이니까 다 용서됩니다.서비스도 친절하시고 다 올려주시면 설명을 한 번 해주셔서 듣기에도 좋네요. 한 분이 하셔서 개별적인 느낌은 떨어질 수 있지만 저는 괜찮았습니다.예약만 쉽게 가능하다면 자주 방문하고 싶습니다. 예약을 다시 도전해서 재방문해보고 싶은 의사는 있습니다.
        "
