,이름,평점,주소,주력 메뉴,가격대,망고플레이트 주소
0,알라프리마,"
4.8
",서울특별시 강남구 학동로17길 13 1F,"
이탈리안
",4만원 이상,https://www.mangoplate.com//restaurants/ByuIW33rXc
1,미라이,"
4.8
",서울특별시 강남구 논현로153길 24 끌레르빌 1F,"
이자카야 / 오뎅 / 꼬치
",3만원-4만원,https://www.mangoplate.com//restaurants/iMRRP69qtkeO
2,시라카와,"
4.8
",서울특별시 강남구 선릉로161길 7 1F,"
이자카야 / 오뎅 / 꼬치
",2만원-3만원,https://www.mangoplate.com//restaurants/9EVyzauilukl
3,가디록,"
4.8
",서울특별시 강남구 도산대로45길 18-4 2F,"
이탈리안
",4만원 이상,https://www.mangoplate.com//restaurants/ol9BImtmnFqo
4,맛짱조개,"
4.8
",서울특별시 강남구 언주로136길 10,"
해산물 요리
",만원-2만원,https://www.mangoplate.com//restaurants/4hAcTcdILi
5,스시카나에,"
4.7
",서울특별시 강남구 도산대로75길 15 노노빌딩 2F,"
회 / 스시
",4만원 이상,https://www.mangoplate.com//restaurants/UjiK7BUxljkP
6,파씨오네,"
4.7
",서울특별시 강남구 언주로164길 39,"
프랑스 음식
",4만원 이상,https://www.mangoplate.com//restaurants/mfwd78vEtS
7,로바타탄요,"
4.7
",서울특별시 강남구 압구정로28길 49 109호,"
정통 일식 / 일반 일식
",2만원-3만원,https://www.mangoplate.com//restaurants/AIodGGqVRYId
8,인딕 슬로우,"
4.7
",서울특별시 강남구 압구정로4길 13 1F,"
인도 음식
",만원-2만원,https://www.mangoplate.com//restaurants/m16fiU1vHZhd
9,삐아프,"
4.7
",서울특별시 강남구 압구정로4길 27-3,"
카페 / 디저트
",만원-2만원,https://www.mangoplate.com//restaurants/QxTRZZv3Dl
10,일리조,"
4.7
",서울특별시 강남구 압구정로42길 23 1F,"
이탈리안
",2만원-3만원,https://www.mangoplate.com//restaurants/ewTZ9Le7U54q
11,신비갈비살,"
4.7
",서울특별시 강남구 강남대로158길 15 1F,"
고기 요리
",3만원-4만원,https://www.mangoplate.com//restaurants/-EDDtVfafvaS
12,레스토랑오와이,"
4.7
",서울특별시 강남구 선릉로148길 48-12 B1,"
패밀리 레스토랑
",4만원 이상,https://www.mangoplate.com//restaurants/1v6eP2VN2mVS
13,상석,"
4.7
",서울특별시 강남구 논현로159길 15,"
회 / 스시
",4만원 이상,https://www.mangoplate.com//restaurants/cjqgzp6dKlZF
14,BISTROT de YOUNTVILLE,"
4.6
",서울특별시 강남구 선릉로158길 13-7 이안빌딩 1F,"
프랑스 음식
",4만원 이상,https://www.mangoplate.com//restaurants/koJ-1vE9dB
15,이치에,"
4.6
",서울특별시 강남구 선릉로155길 23-3 2F,"
이자카야 / 오뎅 / 꼬치
",4만원 이상,https://www.mangoplate.com//restaurants/BJk2Z6emjA
16,와라야키 쿠이신보,"
4.6
",서울특별시 강남구 도산대로15길 6 대화빌딩,"
이자카야 / 오뎅 / 꼬치
",2만원-3만원,https://www.mangoplate.com//restaurants/jiQPoOdNDqQc
17,콴안다오,"
4.6
",서울특별시 강남구 강남대로156길 28-2 1F,"
베트남 음식
",만원-2만원,https://www.mangoplate.com//restaurants/2_sFMbsZC9HC
18,가담,"
4.6
",서울특별시 강남구 언주로167길 35 옥산빌딩,"
정통 중식 / 일반 중식
",만원-2만원,https://www.mangoplate.com//restaurants/B8CzA6i9Bb8Z
19,껠끄쇼즈,"
4.6
",서울특별시 강남구 도곡로70길 5,만원 미만,주차공간없음 ,https://www.mangoplate.com//restaurants/vcheyGIxPJ9D
20,스시키,"
4.6
",서울특별시 강남구 선릉로107길 3-4 운경빌딩 1F,"
회 / 스시
",4만원 이상,https://www.mangoplate.com//restaurants/ugq5zpw24LjX
21,농민백암왕순대,"
4.6
",서울특별시 강남구 역삼로3길 20-4,"
탕 / 찌개 / 전골
",만원-2만원,https://www.mangoplate.com//restaurants/vnc0i7l-fd
22,있을재,"
4.6
",서울특별시 강남구 언주로168길 19,"
이탈리안
",2만원-3만원,https://www.mangoplate.com//restaurants/9bPHIBweuuKz
23,가온,"
4.6
",서울특별시 강남구 도산대로 317 호림아트센터 MF,"
한정식 / 백반 / 정통 한식
",4만원 이상,https://www.mangoplate.com//restaurants/pTPRkiV93E
24,슬로우치즈,"
4.6
",서울특별시 강남구 삼성로145길 13,"
브런치 / 버거 / 샌드위치
",만원-2만원,https://www.mangoplate.com//restaurants/TmKdK3zz6fQs
25,소이연남마오,"
4.6
",서울특별시 강남구 도산대로53길 30,"
태국 음식
",만원-2만원,https://www.mangoplate.com//restaurants/IxPgfbX7wag7
26,와려,"
4.6
",서울특별시 강남구 테헤란로98길 28 2F 2호,"
정통 일식 / 일반 일식
",4만원 이상,https://www.mangoplate.com//restaurants/3WdTi8o_WwC-
27,코슌,"
4.6
",서울특별시 강남구 언주로153길 14 2F,"
이자카야 / 오뎅 / 꼬치
",4만원 이상,https://www.mangoplate.com//restaurants/HmA2OLXpsoT_
28,스시 시미즈,"
4.6
",서울특별시 강남구 언주로152길 11-3 B1,"
회 / 스시
",4만원 이상,https://www.mangoplate.com//restaurants/lekDtZkiY1Cy
29,매덕스피자,"
4.6
",서울특별시 강남구 도산대로15길 11 1F,"
기타 양식
",만원-2만원,https://www.mangoplate.com//restaurants/dbZtB1usggE2
30,켄,"
4.6
",서울특별시 강남구 언주로152길 15-3 2F,"
정통 일식 / 일반 일식
",4만원 이상,https://www.mangoplate.com//restaurants/TznMMYOSqMQK
31,쎄쎄종,"
4.6
",서울특별시 강남구 언주로146길 39 주영빌딩 1F,만원 미만,주차공간없음 ,https://www.mangoplate.com//restaurants/faOJKeUy00Yt
32,영동민물장어,"
4.6
",서울특별시 강남구 언주로148길 8 B1,"
해산물 요리
",4만원 이상,https://www.mangoplate.com//restaurants/QdnZnky2HnMJ
33,쇼토,"
4.6
",서울특별시 강남구 압구정로18길 14-6 1F,"
베이커리
",만원 미만,https://www.mangoplate.com//restaurants/dElK7hRQymUE
34,키겐,"
4.6
",서울특별시 강남구 언주로150길 51 B1,"
기타 일식
",2만원-3만원,https://www.mangoplate.com//restaurants/eEMujXaKYLRJ
35,비플레이트 바이 브라운브레드,"
4.6
",서울특별시 강남구 논현로24길 41,"
베이커리
",만원 미만,https://www.mangoplate.com//restaurants/KyJsLQGd64
36,호루몬규상,"
4.6
",서울특별시 강남구 언주로148길 14 다동 103호,"
고기 요리
",만원-2만원,https://www.mangoplate.com//restaurants/S2ukxlPLTf_J
37,왕스덕,"
4.6
",서울특별시 강남구 도산대로 130 하림타워 B1,"
정통 중식 / 일반 중식
",3만원-4만원,https://www.mangoplate.com//restaurants/5h2OL8a5GlY_
38,야키토리묵,"
4.6
",서울특별시 강남구 강남대로152길 23 B1,"
이자카야 / 오뎅 / 꼬치
",3만원-4만원,https://www.mangoplate.com//restaurants/KWAbqJTAHmb-
39,호별관,"
4.6
",서울특별시 강남구 논현로114길 22 1F,"
돈부리 / 일본 카레 / 벤토
",2만원-3만원,https://www.mangoplate.com//restaurants/4MRu9Jsi1dxk
40,신사치킨클럽,"
4.6
",서울특별시 강남구 강남대로162길 40 1F,"
다국적 아시아 음식
",만원-2만원,https://www.mangoplate.com//restaurants/55JxAje9n9K9
