이름,평점,주소,좌표,구,위도,경도,Cluster
청우참치,4.5,서울특별시 강남구 강남대로 632,"(37.5182046, 127.019356)",강남구,37.518204600000004,127.019356,[0]
정돈,4.3,서울특별시 강남구 강남대로110길 26 1F,"(37.5035911, 127.0269451)",강남구,37.5035911,127.02694509999999,[0]
꼼다비뛰드,4.5,서울특별시 강남구 강남대로110길 62,"(37.5033264, 127.0294865)",강남구,37.5033264,127.0294865,[0]
노들강,4.4,서울특별시 강남구 강남대로114길 19,"(37.5061534, 127.0258181)",강남구,37.506153399999995,127.02581809999998,[0]
영동소금구이,4.4,서울특별시 강남구 강남대로124길 10 1F,"(37.5088173, 127.0234738)",강남구,37.5088173,127.02347379999999,[0]
야키토리묵,4.6,서울특별시 강남구 강남대로152길 23 B1,"(37.5176433, 127.021214)",강남구,37.517643299999996,127.02121399999999,[0]
목포집,4.3,서울특별시 강남구 강남대로152길 24,"(37.5174493, 127.0213987)",강남구,37.517449299999996,127.02139869999999,[0]
야사이마끼 쿠이신보,4.4,서울특별시 강남구 강남대로152길 62,"(37.5186497, 127.0242496)",강남구,37.518649700000005,127.0242496,[0]
칙피스,4.5,서울특별시 강남구 강남대로152길 69,"(37.5190769, 127.0247078)",강남구,37.519076899999995,127.0247078,[0]
콴안다오,4.5,서울특별시 강남구 강남대로156길 28-2 1F,"(37.5184448, 127.0214852)",강남구,37.5184448,127.0214852,[0]
삼창교자,4.4,서울특별시 강남구 강남대로156길 33,"(37.5188793, 127.021733)",강남구,37.518879299999995,127.02173300000001,[0]
신비갈비살,4.7,서울특별시 강남구 강남대로158길 15 1F,"(37.5190821, 127.0201081)",강남구,37.5190821,127.0201081,[0]
정돈 프리미엄,4.4,서울특별시 강남구 강남대로160길 28,"(37.5197151, 127.0210286)",강남구,37.5197151,127.02102859999998,[0]
테일러커피,4.3,서울특별시 강남구 강남대로160길 31 1F,"(37.5201201, 127.0211953)",강남구,37.5201201,127.0211953,[0]
오사카카레콘유,4.4,서울특별시 강남구 강남대로160길 49 1F,"(37.520621, 127.0225949)",강남구,37.520621000000006,127.0225949,[0]
레호이,4.5,서울특별시 강남구 강남대로162길 21,"(37.5201873, 127.0201706)",강남구,37.520187299999996,127.0201706,[0]
신사치킨클럽,4.5,서울특별시 강남구 강남대로162길 40 1F,"(37.52071189999999, 127.0219296)",강남구,37.5207119,127.02192959999998,[0]
양인환대,4.3,서울특별시 강남구 강남대로42길 17,"(37.48552189999999, 127.0353536)",강남구,37.485521899999995,127.03535359999998,[]
이디야커피랩,4.3,서울특별시 강남구 논현로 636,"(37.5104381, 127.032971)",강남구,37.5104381,127.03297099999999,[]
고급오복수산,4.3,서울특별시 강남구 논현로 854 B1,"(37.525194, 127.0288446)",강남구,37.525194,127.0288446,[0]
치즈룸,4.3,서울특별시 강남구 논현로 854 안다즈호텔 B1 112호,"(37.5254876, 127.0289201)",강남구,37.5254876,127.0289201,[0]
홍명,4.3,서울특별시 강남구 논현로131길 10,"(37.51449, 127.0294426)",강남구,37.51449,127.0294426,[0]
모노로그,4.3,서울특별시 강남구 논현로149길 31,"(37.5177083, 127.0260209)",강남구,37.517708299999995,127.0260209,[0]
탄광,4.3,서울특별시 강남구 논현로149길 52,"(37.51726, 127.0243276)",강남구,37.51726,127.02432759999998,[0]
미라이,4.8,서울특별시 강남구 논현로153길 24 끌레르빌 1F,"(37.5210505, 127.0261584)",강남구,37.5210505,127.0261584,[0]
일무레또,4.5,서울특별시 강남구 논현로157길 33,"(37.5217787, 127.0255222)",강남구,37.5217787,127.02552220000001,[0]
비스트로앤트로,4.4,서울특별시 강남구 논현로159길 12 1F,"(37.5231626, 127.0271514)",강남구,37.5231626,127.0271514,[0]
상석,4.7,서울특별시 강남구 논현로159길 15,"(37.5229059, 127.0268289)",강남구,37.5229059,127.02682890000001,[0]
압구정공주떡집,4.4,서울특별시 강남구 논현로161길 11,"(37.5233134, 127.0271902)",강남구,37.5233134,127.0271902,[0]
야스노야지로,4.4,서울특별시 강남구 논현로163길 13-5 1F,"(37.5236925, 127.0270529)",강남구,37.523692499999996,127.02705290000002,[0]
비플레이트 바이 브라운브레드,4.6,서울특별시 강남구 논현로24길 41,"(37.4820992, 127.0448649)",강남구,37.4820992,127.0448649,[1]
양재초밥,4.4,서울특별시 강남구 논현로26길 16 102호,"(37.482338, 127.044163)",강남구,37.482338,127.04416299999998,[1]
원스타 올드패션드 햄버거,4.5,서울특별시 강남구 논현로26길 23,"(37.482818, 127.0443559)",강남구,37.482818,127.04435590000001,[1]
DOMA,4.3,서울특별시 강남구 논현로26길 41 B1,"(37.4838292, 127.0453866)",강남구,37.4838292,127.04538659999999,[1]
차만다,4.4,서울특별시 강남구 논현로36길 19,"(37.4850344, 127.0433315)",강남구,37.485034399999996,127.0433315,[1]
이도,4.6,서울특별시 강남구 논현로75길 7 1F,"(37.4963572, 127.0382507)",강남구,37.496357200000006,127.03825069999999,[]
지아니스나폴리,4.4,서울특별시 강남구 논현로94길 15 B1,"(37.5026264, 127.0375403)",강남구,37.5026264,127.03754029999999,[3]
양궈푸마라탕,4.4,서울특별시 강남구 논현로94길 21 1F,"(37.50279039999999, 127.0379838)",강남구,37.502790399999995,127.03798379999999,[3]
파티세리바이가루하루,4.3,서울특별시 강남구 논현로94길 25-5 1F,"(37.5031773, 127.0380343)",강남구,37.5031773,127.03803429999999,[3]
이도곰탕,4.3,서울특별시 강남구 논현로94길 29-5,"(37.5033102, 127.0384205)",강남구,37.5033102,127.0384205,[3]
에빗,4.3,서울특별시 강남구 도곡로23길 33,"(37.4943938, 127.0386897)",강남구,37.4943938,127.0386897,[]
한강수,4.4,서울특별시 강남구 도곡로4길 10 2F,"(37.4892794, 127.0332698)",강남구,37.4892794,127.03326979999999,[]
껠끄쇼즈,4.6,서울특별시 강남구 도곡로70길 5,"(37.49695579999999, 127.05661)",강남구,37.496955799999995,127.05661,[]
땅코참숯구이,4.3,서울특별시 강남구 도곡로7길 28,"(37.4925367, 127.0343734)",강남구,37.4925367,127.03437340000002,[0]
왕스덕,4.7,서울특별시 강남구 도산대로 130 하림타워 B1,"(37.5171528, 127.0229665)",강남구,37.5171528,127.02296650000001,[0]
김수사,4.3,서울특별시 강남구 도산대로 132 해정빌딩 1F,"(37.5215969, 127.0357429)",강남구,37.5215969,127.0357429,[0]
은화계,4.4,서울특별시 강남구 도산대로 152,"(37.5181233, 127.025218)",강남구,37.51812329999999,127.025218,[0]
아이뽀유,4.3,서울특별시 강남구 도산대로 153,"(37.51883420000001, 127.0252121)",강남구,37.5188342,127.0252121,[0]
가온,4.6,서울특별시 강남구 도산대로 317 호림아트센터 MF,"(37.5225343, 127.0360176)",강남구,37.5225343,127.0360176,[0]
스시코우지,4.3,서울특별시 강남구 도산대로 404 퍼스트빌딩 2F,"(37.5229257, 127.0398356)",강남구,37.5229257,127.03983559999999,[0]
매덕스피자,4.6,서울특별시 강남구 도산대로15길 11 1F,"(37.5190215, 127.0237719)",강남구,37.5190215,127.0237719,[0]
효계,4.4,서울특별시 강남구 도산대로15길 15 1F,"(37.51915990000001, 127.0237361)",강남구,37.5191599,127.02373610000001,[0]
길버트버거앤프라이즈,4.3,서울특별시 강남구 도산대로15길 47 B1,"(37.521227, 127.023199)",강남구,37.521227,127.023199,[0]
와라야키 쿠이신보,4.6,서울특별시 강남구 도산대로15길 6 대화빌딩,"(37.5107654, 127.0642405)",강남구,37.5107654,127.0642405,[2]
하쿠시,4.4,서울특별시 강남구 도산대로16길 6-10,"(37.5172231, 127.023784)",강남구,37.5172231,127.023784,[0]
새들러하우스,4.5,서울특별시 강남구 도산대로17길 10 B1,"(37.5193417, 127.024908)",강남구,37.5193417,127.02490800000001,[0]
스쿠로,4.3,서울특별시 강남구 도산대로17길 31 1F,"(37.5206822, 127.0240036)",강남구,37.5206822,127.02400359999999,[0]
SOOT,4.4,서울특별시 강남구 도산대로23길 7,"(37.5196043, 127.0259385)",강남구,37.5196043,127.0259385,[0]
스시타츠,4.3,서울특별시 강남구 도산대로28길 18 청림빌딩 1F,"(37.5180272, 127.0281988)",강남구,37.518027200000006,127.02819879999998,[0]
볼피노리스토란테,4.3,서울특별시 강남구 도산대로45길 10-7,"(37.5234529, 127.0363994)",강남구,37.523452899999995,127.0363994,[0]
가디록,4.8,서울특별시 강남구 도산대로45길 18-4 2F,"(37.5236957, 127.0357877)",강남구,37.523695700000005,127.03578770000001,[0]
스시선수,4.4,서울특별시 강남구 도산대로45길 6 호림아트센터 2빌딩,"(37.5225343, 127.0360176)",강남구,37.5225343,127.0360176,[0]
갓포아키,4.5,서울특별시 강남구 도산대로45길 8-3 쿠키빌딩,"(37.522981, 127.0362143)",강남구,37.522981,127.0362143,[0]
효도치킨,4.3,서울특별시 강남구 도산대로46길 21 한진로즈힐아파트상가 101동 120호,"(37.5206804, 127.0371595)",강남구,37.5206804,127.0371595,[0]
어물전 청,4.4,서울특별시 강남구 도산대로49길 16-7 1F,"(37.5240631, 127.0376394)",강남구,37.5240631,127.0376394,[0]
우가,4.3,서울특별시 강남구 도산대로49길 22 B1,"(37.5243274, 127.0373475)",강남구,37.5243274,127.03734750000001,[0]
미트업,4.5,서울특별시 강남구 도산대로49길 30 2F,"(37.5248578, 127.0372004)",강남구,37.5248578,127.03720039999999,[0]
꽁티드툴레아,4.4,서울특별시 강남구 도산대로49길 39 2F,"(37.5255247, 127.0368785)",강남구,37.525524700000005,127.03687849999999,[0]
알고리즘,4.4,서울특별시 강남구 도산대로49길 8 2F,"(37.5233162, 127.0374228)",강남구,37.523316200000004,127.03742279999999,[0]
리틀넥,4.3,서울특별시 강남구 도산대로51길 17,"(37.5241748, 127.0377523)",강남구,37.5241748,127.03775230000001,[0]
최가네버섯샤브매운탕칼국수,4.4,서울특별시 강남구 도산대로51길 36,"(37.52541920000001, 127.0381911)",강남구,37.5254192,127.03819109999999,[0]
다운타우너,4.3,서울특별시 강남구 도산대로53길 14 1F,"(37.52396969999999, 127.0385581)",강남구,37.5239697,127.0385581,[0]
소이연남마오,4.6,서울특별시 강남구 도산대로53길 30,"(37.5251232, 127.0389133)",강남구,37.5251232,127.03891329999999,[0]
제스트,4.5,서울특별시 강남구 도산대로55길 26 하늘빌딩 1F,"(37.4849347, 127.0351052)",강남구,37.484934700000004,127.03510520000002,[]
르챔버,4.4,서울특별시 강남구 도산대로55길 42 B1,"(37.5262178, 127.0411133)",강남구,37.5262178,127.04111329999999,[0]
파스토,4.4,서울특별시 강남구 도산대로62길 17 B1,"(37.5222242, 127.0430876)",강남구,37.522224200000004,127.04308759999999,[0]
스시카나에,4.7,서울특별시 강남구 도산대로75길 15 노노빌딩 2F,"(37.5251521, 127.045702)",강남구,37.5251521,127.045702,[0]
페어링룸,4.4,서울특별시 강남구 도산대로81길 14 1F,"(37.5253495, 127.0478264)",강남구,37.5253495,127.04782639999999,[0]
파불라,4.3,서울특별시 강남구 도산대로81길 51 루미안빌딩 1F,"(37.5271242, 127.045714)",강남구,37.5271242,127.04571399999999,[0]
스시장종현,4.3,서울특별시 강남구 도산대로85길 13 2F,"(37.5254846, 127.048947)",강남구,37.5254846,127.048947,[0]
쁠로13,4.3,서울특별시 강남구 도산대로8길 13 1F,"(37.5161037, 127.0223291)",강남구,37.5161037,127.0223291,[0]
청담테라,4.3,서울특별시 강남구 도산대로90길 13 1F,"(37.5234472, 127.0491482)",강남구,37.5234472,127.0491482,"[0, 18]"
살루쪼,4.3,서울특별시 강남구 봉은사로57길 6,"(37.5112764, 127.0454217)",강남구,37.5112764,127.04542169999999,[]
마이니치라멘,4.5,서울특별시 강남구 봉은사로61길 17 1F,"(37.5121793, 127.0460991)",강남구,37.51217929999999,127.04609909999999,[]
